height,found_at,value,user_reward
688184,2021-06-19 13:33:49,6.46227095,0.00044179
688204,2021-06-19 19:12:12,6.6551498,0.0004778
688221,2021-06-19 22:57:43,6.51818373,0.00045254
688263,2021-06-20 08:36:42,6.41490665,0.00044605
688280,2021-06-20 12:24:02,6.45396498,0.00047213
688292,2021-06-20 14:30:26,6.43479824,0.00044434
688306,2021-06-20 16:55:51,6.45003937,0.00046549
688322,2021-06-20 21:43:41,6.37974546,0.00045834
688381,2021-06-21 11:26:56,6.5934057,0.00046432
688383,2021-06-21 12:23:01,6.82968743,0.00049647
688392,2021-06-21 15:48:00,6.90554315,0.00050678
688398,2021-06-21 17:19:20,6.71031764,0.00040368
688404,2021-06-21 17:58:44,6.58695277,0.00045227
688415,2021-06-21 19:42:34,6.70816261,0.00036934
688418,2021-06-21 19:54:41,6.50261409,0.00038947
688420,2021-06-21 20:01:20,6.58776372,0.0004205
688437,2021-06-22 01:08:29,7.21143671,0.00054868
688455,2021-06-22 05:21:13,6.58574216,0.00047202
688462,2021-06-22 06:24:14,6.40739223,0.0004528
688464,2021-06-22 07:33:32,6.89084382,0.00050419
688473,2021-06-22 09:11:20,6.58576673,0.00047761
688572,2021-06-23 09:11:42,6.55761415,0.00046326
688581,2021-06-23 11:07:32,6.6024953,0.00047368
688597,2021-06-23 15:28:45,6.80608026,0.00049907
688609,2021-06-23 19:10:10,6.86199548,0.00049016
688616,2021-06-23 20:51:12,6.74382774,0.000494
688617,2021-06-23 21:10:55,7.05694431,0.00049918
688640,2021-06-24 02:02:02,6.82559295,0.00047868
688677,2021-06-24 11:18:30,6.35795023,0.0004462
688685,2021-06-24 13:46:51,6.89646852,0.00049129
688688,2021-06-24 14:27:01,6.81734357,0.00047585
688792,2021-06-25 13:58:13,6.53190579,0.00029647
688810,2021-06-25 17:52:29,6.92642331,0.0005048
688817,2021-06-25 19:04:34,6.38058683,0.00045862
688847,2021-06-26 00:43:32,6.40657225,0.00046262
688849,2021-06-26 01:33:25,6.36327005,0.00046418
688859,2021-06-26 05:12:51,6.82100516,0.00046772
688874,2021-06-26 07:43:33,6.36462424,0.00045407
688890,2021-06-26 10:54:56,6.2749606,0.00045178
688898,2021-06-26 14:36:08,6.63534868,0.00046618
688928,2021-06-26 23:26:58,6.38450712,0.00046398
688936,2021-06-27 02:56:25,6.83598112,0.00048361
688947,2021-06-27 06:58:52,6.39322351,0.00046138
688958,2021-06-27 09:42:15,6.28847299,0.00045004
688983,2021-06-27 18:02:36,6.66644606,0.00049863
688993,2021-06-28 01:16:58,6.86202497,0.00049124
689093,2021-06-29 01:53:15,6.52422626,0.00046912
689107,2021-06-29 07:09:00,6.88905294,0.00048459
689119,2021-06-29 10:20:00,7.06724401,0.00048648
689143,2021-06-29 17:42:20,6.94743363,0.00052399
689186,2021-06-30 05:09:33,6.92824549,0.00050372
689192,2021-06-30 07:15:28,6.8435253,0.00048565
689238,2021-06-30 18:01:43,7.11167582,0.00049847
689327,2021-07-01 19:18:04,7.08922423,0.00049949
689345,2021-07-01 22:49:55,7.15911426,0.0004948
689398,2021-07-02 10:50:53,6.88500277,0.00048397
689414,2021-07-02 15:35:49,7.16310736,0.00051214
689418,2021-07-02 16:37:29,7.11477603,0.00049746
689429,2021-07-02 19:21:59,7.16730052,0.00052132
689442,2021-07-02 23:49:12,7.11326919,0.00049409
689458,2021-07-03 03:48:21,6.82801567,0.00045633
689467,2021-07-03 05:50:34,6.52766157,0.00044276
689481,2021-07-03 08:09:06,6.47755277,0.0004609
689489,2021-07-03 10:25:20,6.51672424,0.00045457
689533,2021-07-03 18:10:36,6.8438967,0.00046562
689562,2021-07-03 22:52:02,6.37706639,0.00043008
689578,2021-07-04 02:54:47,6.6297966,0.00045158
689641,2021-07-04 14:08:23,6.53128007,0.0004463
689643,2021-07-04 14:26:31,6.29981977,0.00041927
689660,2021-07-04 18:41:54,6.49688689,0.00043243
689663,2021-07-04 19:42:32,6.41213991,0.00043282
689667,2021-07-04 20:25:52,6.336896,0.00043551
689678,2021-07-04 22:18:50,7.15802247,0.00047105
689681,2021-07-04 22:52:23,6.36804645,0.00042998
689685,2021-07-05 00:01:34,6.79012116,0.00047468
689742,2021-07-05 10:18:10,6.29678643,0.00044841
689771,2021-07-05 15:38:56,6.42490155,0.00044354
689775,2021-07-05 16:11:41,6.47531028,0.00044545
689821,2021-07-06 00:50:25,6.28499111,0.00044908
689841,2021-07-06 05:50:52,6.78286355,0.00048565
689850,2021-07-06 07:23:52,6.94632692,0.00048524
689856,2021-07-06 07:48:15,6.42482883,0.00045105
689870,2021-07-06 10:14:32,6.27094773,0.00041562
689873,2021-07-06 10:24:40,6.30730372,0.00042429
689874,2021-07-06 10:29:44,6.44330245,0.00044382
689899,2021-07-06 14:18:45,6.30251996,0.00044799
689961,2021-07-07 00:53:38,6.39778875,0.00045617
689967,2021-07-07 01:49:51,6.49776514,0.00044795
689976,2021-07-07 02:54:27,6.37790544,0.00045437
689999,2021-07-07 07:10:44,6.65570855,0.00046612
690008,2021-07-07 08:56:29,6.41352081,0.00043371
690022,2021-07-07 12:16:03,6.39115602,0.00043493
690072,2021-07-07 21:35:43,6.59616026,0.00044313
690080,2021-07-07 23:31:43,6.4721271,0.00044715
690123,2021-07-08 07:14:10,6.44754902,0.00043489
690144,2021-07-08 10:47:26,6.76052806,0.00046329
690182,2021-07-08 18:03:25,6.69365595,0.00044958
690193,2021-07-08 20:17:29,6.39481625,0.00042538
690210,2021-07-08 22:43:23,6.54049788,0.0004606
690233,2021-07-09 02:04:59,6.61774388,0.00046581
690240,2021-07-09 03:45:04,6.4597171,0.000464
690252,2021-07-09 05:43:33,6.31688715,0.00043084
690260,2021-07-09 06:54:41,6.26898756,0.00042581
690270,2021-07-09 09:04:30,6.63034542,0.0004438
690296,2021-07-09 14:13:51,6.45862965,0.00045807
690315,2021-07-09 18:19:00,6.60914867,0.00044662
690317,2021-07-09 18:35:45,6.51585243,0.00043993
690323,2021-07-09 19:37:07,6.42390704,0.00042389
690326,2021-07-09 20:02:31,6.4894189,0.00043666
690327,2021-07-09 20:03:05,6.33213038,0.00042778
690329,2021-07-09 20:42:20,6.61327078,0.00045446
690342,2021-07-09 22:49:39,6.39135824,0.00042881
690349,2021-07-09 23:43:59,6.31225712,0.00040569
690423,2021-07-10 09:39:14,6.28441473,0.00042897
690428,2021-07-10 10:17:06,6.53032712,0.00044732
690451,2021-07-10 14:13:27,6.33646877,0.00042208
690463,2021-07-10 16:15:24,6.25,0.00044532
690510,2021-07-10 23:03:19,6.33509107,0.00039339
690515,2021-07-11 01:39:40,6.34568597,0.00042563
690531,2021-07-11 04:14:06,6.29950897,0.00042552
690546,2021-07-11 06:48:28,6.62902972,0.00047292
690590,2021-07-11 15:14:02,6.31408974,0.00042344
690595,2021-07-11 15:44:44,6.33700841,0.00043263
690609,2021-07-11 18:51:50,6.39805034,0.00043642
690642,2021-07-12 00:42:21,6.25913292,0.00043762
690651,2021-07-12 03:10:10,6.30898713,0.00043007
690662,2021-07-12 04:57:12,6.39346662,0.00045255
690708,2021-07-12 13:48:03,6.50200308,0.00044591
690716,2021-07-12 15:27:23,6.65339157,0.0004663
690722,2021-07-12 16:54:12,6.52155039,0.00044679
690749,2021-07-12 21:15:11,6.68948294,0.00042362
690789,2021-07-13 05:25:34,6.49346528,0.00044699
690832,2021-07-13 13:12:29,6.96906627,0.00048112
690852,2021-07-13 16:12:28,6.61623376,0.00047178
690875,2021-07-13 20:39:12,6.64567842,0.00046124
690895,2021-07-13 23:25:59,6.35621133,0.00043305
690896,2021-07-13 23:36:00,6.52138905,0.00044563
690924,2021-07-14 04:50:19,6.36254027,0.00043513
690938,2021-07-14 06:39:08,6.41544494,0.00042635
690940,2021-07-14 07:16:34,6.38568631,0.00043392
690962,2021-07-14 10:27:47,6.39651215,0.00042662
690974,2021-07-14 11:37:42,6.26882047,2.837e-05
690982,2021-07-14 12:19:02,6.29388989,3.65e-06
690997,2021-07-14 14:01:33,6.40538726,0.0002628
691014,2021-07-14 16:56:16,6.61614151,0.00045111
691025,2021-07-14 13:00:46,6.34031308,0.00043856
691039,2021-07-14 20:26:38,6.46651432,0.00043781
691054,2021-07-14 17:21:06,6.43036966,0.00044154
691076,2021-07-14 21:23:56,6.52068208,0.00047864
691081,2021-07-15 03:32:47,6.4279782,0.00044332
691091,2021-07-15 01:18:29,6.53653509,0.00044905
691137,2021-07-15 09:12:29,6.8639542,0.00047083
691139,2021-07-15 09:39:08,6.80826219,0.00044795
691153,2021-07-15 11:21:16,6.36456998,0.00044116
691164,2021-07-15 12:24:00,6.30802811,0.00045364
691170,2021-07-15 14:22:39,6.87598748,0.00047723
691191,2021-07-15 18:04:48,6.63706616,0.00046569
691193,2021-07-15 18:19:36,6.38638766,0.00043278
691221,2021-07-15 22:47:22,6.34286122,0.00042995
691261,2021-07-16 05:33:48,6.34259267,0.000426
691273,2021-07-16 07:26:37,6.5313205,0.00045436
691287,2021-07-16 09:10:15,6.34297112,0.0004456
691294,2021-07-16 11:00:07,6.50154272,0.00043923
691312,2021-07-16 13:10:12,6.47114389,0.00044731
691324,2021-07-16 15:02:12,6.28968267,0.00043865
691365,2021-07-16 21:25:48,6.28960878,0.00042992
691410,2021-07-17 04:36:55,6.26154368,0.00041094
691425,2021-07-17 06:23:41,6.25935525,0.00040981
691434,2021-07-17 07:36:38,6.29768114,0.00040943
691458,2021-07-17 12:55:00,6.32586947,0.00040615
691466,2021-07-17 14:36:19,6.27424971,0.00041923
691475,2021-07-17 16:45:57,6.26163325,0.00040706
691482,2021-07-17 17:51:58,6.36004238,0.00040199
691493,2021-07-17 19:31:51,6.33724472,0.00041752
691501,2021-07-17 20:16:02,6.27106741,0.00041435
691522,2021-07-17 23:42:55,6.45070814,0.0004149
691528,2021-07-18 00:33:52,6.43461923,0.00042638
691561,2021-07-18 06:27:34,6.27673604,0.00041577
691691,2021-07-19 03:59:18,6.418342,0.00042998
691695,2021-07-19 04:17:09,6.2834735,0.0004294
691736,2021-07-19 09:31:59,6.32296849,0.0004248
691749,2021-07-19 12:06:15,6.35759262,0.00042149
691788,2021-07-19 17:16:14,6.33399855,0.00041469
691789,2021-07-19 17:17:28,6.25859017,0.00040892
691802,2021-07-19 18:48:56,6.51004013,0.00044151
691809,2021-07-19 20:47:53,6.44539062,0.00042278
691852,2021-07-20 05:46:36,6.60200478,0.00043134
691855,2021-07-20 05:50:22,6.29914606,0.00040113
691875,2021-07-20 08:47:01,6.50223193,0.00041717
691884,2021-07-20 10:13:28,6.53367884,0.00041671
691892,2021-07-20 11:29:21,6.27688215,0.00041582
691893,2021-07-20 11:30:01,6.27844847,0.0004176
691913,2021-07-20 16:02:03,6.38710833,0.00040157
691923,2021-07-20 18:14:57,6.32083437,0.00042841
691925,2021-07-20 18:22:17,6.29230796,0.00041415
691937,2021-07-20 21:05:14,6.40920446,0.00041056
691980,2021-07-21 02:57:11,6.42689047,0.00042405
691983,2021-07-21 03:36:45,6.58432732,0.00041649
691994,2021-07-21 05:18:00,6.37086009,0.00041716
692000,2021-07-21 07:01:55,6.3198198,0.00040532
692009,2021-07-21 08:06:04,6.435317,0.00042206
692028,2021-07-21 10:11:06,6.28833592,0.00038667
692036,2021-07-21 12:05:49,6.57067724,0.00043156
692038,2021-07-21 12:08:51,6.30032841,0.00042036
692042,2021-07-21 13:22:39,6.4603228,0.00040001
692073,2021-07-21 19:42:34,6.40081131,0.00043243
692101,2021-07-21 23:43:11,6.33879364,0.00041008
692122,2021-07-22 02:33:30,6.31720826,0.0004074
692130,2021-07-22 04:50:22,6.51235168,0.0004048
692138,2021-07-22 05:48:20,6.37514952,0.00042358
692140,2021-07-22 06:17:19,6.35903625,0.00042699
692172,2021-07-22 10:39:58,6.27173314,0.00041106
692177,2021-07-22 11:13:37,6.29996649,0.00041378
692241,2021-07-22 20:58:44,6.45845646,0.00040621
692253,2021-07-22 23:58:27,6.2619086,0.00039991
692298,2021-07-23 08:34:14,6.34204,0.00037231
692305,2021-07-23 09:13:58,6.27639183,0.00040688
692319,2021-07-23 11:09:55,6.31522197,0.00040541
692347,2021-07-23 15:13:23,6.37079335,0.00044249
692361,2021-07-23 18:19:04,6.40467459,0.00041027
692400,2021-07-23 23:56:24,6.32425268,0.0004003
692401,2021-07-23 23:58:32,6.26091661,0.00040012
692434,2021-07-24 05:52:16,6.35101372,0.00041852
692466,2021-07-24 10:38:58,6.33174143,0.00039015
692500,2021-07-24 16:50:01,6.40746358,0.00042661
692516,2021-07-24 18:34:21,6.36680208,0.00041628
692531,2021-07-24 21:19:25,6.27036006,0.00038885
692558,2021-07-25 00:36:19,6.250108,0.00040076
692603,2021-07-25 08:19:03,6.29416218,0.00041372
